seed,model,N,M,USW,EF violations,CPU time,elapsed time,EF1,fPO
8,ILP,3,330,599.0,0,0.18474599999999697,0.14628741699999992,True,True
9,ILP,3,330,614.0,0,0.20111400000000046,0.1508860839999997,True,True
0,ILP,3,350,639.0,0,0.18159299999999945,0.14512841699999868,True,True
1,ILP,3,350,631.0,0,0.18612999999999857,0.15004108299999963,True,True
2,ILP,3,350,622.0,0,0.18355299999999986,0.1544719170000004,True,True
3,ILP,3,350,653.0,0,0.20825900000000175,0.1553337500000005,True,True
4,ILP,3,350,606.0,0,0.18537999999999855,0.1504754170000009,True,True
5,ILP,3,350,605.0,0,0.1957969999999989,0.16211366699999985,True,True
6,ILP,3,350,641.0,0,0.19801999999999964,0.14982720799999782,True,True
7,ILP,3,350,607.0,0,0.1804009999999998,0.14579550000000197,True,True
8,ILP,3,350,632.0,0,0.2059180000000005,0.15202495799999838,True,True
9,ILP,3,350,647.0,0,0.22568300000000008,0.16065679200000105,True,True
0,ILP,3,370,674.0,0,0.14276700000000275,0.14284158299999916,True,True
1,ILP,3,370,660.0,0,0.19659100000000151,0.16031470800000136,True,True
2,ILP,3,370,659.0,0,0.20102299999999929,0.16397829199999947,True,True
3,ILP,3,370,691.0,0,0.1907500000000013,0.1543132500000013,True,True
4,ILP,3,370,643.0,0,0.14220699999999908,0.14235425000000035,True,True
5,ILP,3,370,640.0,0,0.2153790000000022,0.1599877499999991,True,True
6,ILP,3,370,689.0,0,0.2350139999999996,0.1653758339999989,True,True
7,ILP,3,370,638.0,0,0.2258180000000003,0.17177358300000023,True,True
8,ILP,3,370,666.0,0,0.21663500000000013,0.1678180420000004,True,True
9,ILP,3,370,684.0,0,0.21074800000000238,0.1612683749999988,True,True
0,ILP,3,390,710.0,0,0.22107600000000005,0.16938837500000048,True,True
1,ILP,3,390,702.0,0,0.23431499999999872,0.17901887499999702,True,True
2,ILP,3,390,701.0,0,0.22661399999999787,0.17221787499999763,True,True
3,ILP,3,390,727.0,0,0.22633499999999884,0.17985945899999933,True,True
